,Total viviendas,Total viviendas principales,Viviendas secundarias,Viviendas vacias,Total viviendas colectivas,COD,Ciudad
1959,"65,723","52,391","5,548","7,772",12,43148, Tarragona
1975,"101,739","83,249","2,544","15,908",38,08279, Terrassa
1976,"19,022","13,218","2,755","3,026",22,44216, Teruel
1990,"37,923","31,386","2,464","4,030",44,45168, Toledo
2014,"49,216","44,581",661,"3,967",7,28148, Torrejón de Ardoz
2083,"2,456","1,556",530,370,0,23093, Valdepeñas de Jaén
2089,"419,994","328,979","33,757","57,193",64,46250, Valencia
2090,"3,859","2,430",977,450,2,10203, Valencia de Alcántara
2091,"4,070","2,002","1,005","1,062",1,24188, Valencia de Don Juan
2092,"1,425",834,313,278,0,06141, Valencia del Ventoso
2099,"158,259","129,151","10,260","18,757",91,47186, Valladolid
2116,"1,825","1,474",51,300,0,06143, Valverde de Leganés
2129,"47,240","28,606","12,062","6,563",9,29094, Vélez-Málaga
2147,"143,638","114,455","10,536","18,588",58,36057, Vigo
2184,"2,156","1,706",187,262,1,14067, Villafranca de Córdoba
2208,"5,233","3,572",818,839,4,14069, Villanueva de Córdoba
2249,"2,243","1,415",604,223,1,14073, Villaviciosa de Córdoba
2291,"39,079","27,297","5,092","6,673",17,49275, Zamora
2293,"327,112","277,588","14,208","35,136",180,50297, Zaragoza
